year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,132,50
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,44,62
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,35,98
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,26,164
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,22,1122
2015-16,ANDHRA PRADESH,CHITTOOR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,259,1496
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,MARGINAL,65584,16456,10,3,65594,16460
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,SMALL,2962,3971,1,1,2963,3972
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,697,1825,1,4,698,1828
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,MEDIUM,152,816,0,0,152,816
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,LARGE,19,289,1,13,20,302
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED CASTE,TOTAL,ALL CLASSES,69414,23357,13,21,69427,23378
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,MARGINAL,40545,17071,8,5,40553,17076
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,SMALL,11559,16045,4,7,11563,16052
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,5520,14618,2,7,5522,14625
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,MEDIUM,1726,9838,3,13,1729,9852
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,LARGE,220,3062,0,0,220,3062
2015-16,ANDHRA PRADESH,EAST GODAVARI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,59570,60636,17,32,59587,60668
2015-16,ANDHRA PRADESH,EAST GODAVARI,OTHERS,TOTAL,MARGINAL,542037,185541,74,27,542111,185568
2015-16,ANDHRA PRADESH,EAST GODAVARI,OTHERS,TOTAL,SMALL,71200,97592,18,25,71218,97618
