year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,UTTAR PRADESH,ALIGARH,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,26,165
2015-16,UTTAR PRADESH,ALIGARH,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,8,162
2015-16,UTTAR PRADESH,ALIGARH,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,270,609
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,MARGINAL,52648,15554,32558,11411,85206,26965
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,SMALL,2312,2979,2423,3208,4735,6187
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,320,819,602,1597,922,2416
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,MEDIUM,31,160,74,377,105,535
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,LARGE,0,0,2,86,2,86
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED CASTE,TOTAL,ALL CLASSES,55311,19510,35659,16678,90970,36189
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,MARGINAL,189462,77115,177728,69061,367190,146176
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,SMALL,22470,31173,33413,45711,55883,76885
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,SEMIMEDIUM,10260,28457,16180,43432,26440,71889
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,MEDIUM,2698,15028,5468,30852,8166,45880
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,LARGE,108,1347,696,8799,804,10146
2015-16,UTTAR PRADESH,ALLAHABAD,OTHERS,TOTAL,ALL CLASSES,224998,153120,233485,197855,458483,350976
2015-16,UTTAR PRADESH,ALLAHABAD,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,207,98
2015-16,UTTAR PRADESH,ALLAHABAD,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,43,60
2015-16,UTTAR PRADESH,ALLAHABAD,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,39,102
